id;start_date;end_date;language
1;2022-08-25T01:43:25;2022-08-24T23:33:40;ENGLISH
2;2022-08-24T11:11:00;2022-08-24T20:36:29;FRENCH
3;2022-08-24T21:07:12;2022-08-24T09:12:20;SPANISH
4;2022-08-25T01:38:01;2022-08-24T07:04:20;FRENCH
5;2022-08-25T03:54:24;2022-08-24T12:13:22;ENGLISH
6;2022-08-24T13:25:07;2022-08-25T03:25:27;SPANISH
7;2022-08-24T21:28:55;2022-08-24T08:03:04;FRENCH
8;2022-08-24T11:54:48;2022-08-24T08:30:37;FRENCH
9;2022-08-24T12:46:26;2022-08-25T00:17:52;FRENCH
10;2022-08-24T08:43:24;2022-08-25T01:40:53;FRENCH
